Source,RA,Dec
J10555973-7724399,163.99865541666665,-77.41114197222223
J10581677-7717170,164.56919291666665,-77.28809563888889
J10590108-7722407,164.75382791666664,-77.37803183333332
J11075792-7738449,166.9906645833333,-77.64582250000001
J11080148-7742288,167.00575916666662,-77.70793555555557
J11081509-7733531,167.06303041666663,-77.56484225
J11085367-7521359,167.2231058333333,-75.35999597222222
J11092379-7623207,167.34852124999998,-76.38912927777778
J11094742-7726290,167.44690999999997,-77.44144130555556
J11095340-7634255,167.47179166666663,-76.57375036111111
J11095407-7629253,167.47468541666666,-76.4904355
J11100369-7633291,167.5147845833333,-76.55812538888888
J11100469-7635452,167.5189633333333,-76.59591877777777
J11100704-7629376,167.52871666666664,-76.49380488888889
J11104959-7717517,167.7059758333333,-77.29770297222223
J11105333-7634319,167.72162041666664,-76.57557811111111
J11113965-7620152,167.91466041666666,-76.33750766666667
J11114632-7620092,167.94243708333332,-76.33582241666666
J11123092-7644241,168.12825041666665,-76.74000111111111
J11173700-7704381,169.40353125,-77.07726836111111
