Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec,Gaia DR3 Source ID,Gaia Match Sep arcsec
HD 290380,4206238,Cody et al.,,6156.9,2.8857,10.284791,0.72608,Herbig Ae/Be,F5-F8,J05233100-0104237,9.9,N,80.87916666666666,-1.07325,3220462655745525632,0.1768176856954305
Hen 3-1191,8806247,Cody et al.,,,0.5573,13.052254,1.615822,Herbig Ae/Be,B1,J16271510-4839268,12.28,N,246.8129166666666,-48.657444444444444,5941532726521838080,0.1851425972599313
HD 290764,11199521,Cody et al.,,,2.4919,9.769571,0.492185,Herbig Ae/Be,A5-A7,J05380526-0115216,9.51,N,84.52191666666666,-1.256,3217489022251372160,0.16630300162317807
HD 37806,11402323,Cody et al.,,,2.4898,7.867092,0.165946,Herbig Ae/Be,B8,J05410229-0243006,7.86,N,85.25954166666666,-2.7168333333333337,3216425420846945408,0.18918130272115155
PDS 124,12161661,Cody et al.,,,1.2903,12.325594,0.794666,Herbig Ae/Be,B8-B9,J06065848-0555066,11.94,N,91.74366666666664,-5.9185,3020042267484574592,0.27694212995490636
IL Cep,12876844,Cody et al.,,6200.9,1.2328,9.003762,1.103078,Herbig Ae/Be,B2,J22531560+6208450,8.53,Y,343.315,62.145833333333336,2207203626363177088,0.037051205499497954
V1685 Cyg,13002932,Cody et al.,,5745.8,1.0956,10.223534,1.409784,Herbig Ae/Be,B2-B3,J20202825+4121514,9.59,N,305.11770833333327,41.36427777777778,2068392276221901952,0.1377908258118144
VOS 321,13417240,Cody et al.,,,1.0167,12.575362,0.741155,Herbig Ae/Be,A8,J20213607+4047561,12.27,N,305.40029166666665,40.79891666666666,2068318948239115008,0.10909609224059397
VOS 398,14740791,Cody et al.,,5263.1,1.2867,13.496857,1.083768,Herbig Ae/Be,G,J20253882+4019008,12.95,N,306.41175,40.31688888888889,2067485110409323648,0.20653656559419456
MWC 1021,15898682,Cody et al.,,6193.5,0.274,10.648601,3.315287,Herbig Ae/Be,B6-B7,J20292692+4140439,9.02,N,307.3621666666666,41.67886111111111,2068027341438025728,0.08101000578251205
V1478 Cyg,17130641,Cody et al.,,,0.5878,11.028811,2.992155,Herbig Ae/Be,B5-B6,J20324553+4039366,9.72,Y,308.1897083333333,40.66016666666667,2067727788940487424,0.06235334464396678
HD 34282,24344701,Cody et al.,,,3.2403,9.859694,0.257697,Herbig Ae/Be,A0-A1,J05160047-0948353,9.74,N,79.00195833333332,-9.809805555555556,3014390365402220544,0.1494915656200447
