Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec
HD 290380,4206238,Cody et al.,,,,,,Or*,F5-F8,J05233100-0104237,9.9,N,80.87916666666666,-1.07325
Hen 3-1191,8806247,Cody et al.,,,,,,Or*,B1,J16271510-4839268,12.28,N,246.8129166666666,-48.657444444444444
HD 290764,11199521,Cody et al.,,,,,,dS*,A5-A7,J05380526-0115216,9.51,N,84.52191666666666,-1.256
HD 37806,11402323,Cody et al.,,,,,,Be*,B8,J05410229-0243006,7.86,N,85.25954166666666,-2.7168333333333337
PDS 124,12161661,Cody et al.,,,,,,TT*,B8-B9,J06065848-0555066,11.94,N,91.74366666666664,-5.9185
IL Cep,12876844,Cody et al.,,,,,,Ae*,B2,J22531560+6208450,8.53,Y,343.315,62.145833333333336
V1685 Cyg,13002932,Cody et al.,,,,,,Ae*,B2-B3,J20202825+4121514,9.59,N,305.11770833333327,41.36427777777778
VOS 321,13417240,Cody et al.,,,,,,Y*O,A8,J20213607+4047561,12.27,N,305.40029166666665,40.79891666666666
VOS 398,14740791,Cody et al.,,,,,,Y*O,G,J20253882+4019008,12.95,N,306.41175,40.31688888888889
MWC 1021,15898682,Cody et al.,,,,,,Ae*,B6-B7,J20292692+4140439,9.02,N,307.3621666666666,41.67886111111111
V1478 Cyg,17130641,Cody et al.,,,,,,**,B5-B6,J20324553+4039366,9.72,Y,308.1897083333333,40.66016666666667
HD 34282,24344701,Cody et al.,,,,,,Ae*,A0-A1,J05160047-0948353,9.74,N,79.00195833333332,-9.809805555555556
SAO 220669,30243973,Cody et al.,,,,,,Or*,B4,J08554594-4425140,8.22,N,133.94141666666664,-44.42055555555555
PDS 286,31638754,Cody et al.,,,,,,Or*,B0,J09060000-4718581,10.1,N,136.49999999999997,-47.31613888888889
PDS 24,35485982,Cody et al.,,,,,,Y*O,B9,J06484168-1648056,12.82,N,102.17366666666666,-16.801555555555556
LkHa 208,45124112,Cody et al.,,,,,,Ae*,A9-F0,J06074953+1839264,10.99,N,91.95637499999998,18.65733333333333
HD 155448,46749954,Cody et al.,,,,,,Or*,B8,J17125876-3214335,8.73,N,258.2448333333333,-32.24263888888889
HD 290500,50656450,Cody et al.,,,,,,Or*,A2-A3,J05294805-0023434,10.75,N,82.45020833333332,-0.3953888888888889
RY Ori,50745417,Cody et al.,,,,,,Or*,F4-F9,J05320993-0249467,10.83,N,83.04137499999999,-2.829638888888889
PDS 25,53898232,Cody et al.,,,,,,Or*,A3-A6,J06542787-2502158,12.69,N,103.616125,-25.037722222222225
HD 9672,54003409,Cody et al.,,,,,,PM*,A1-A2,J01343776-1540348,5.6,N,23.65733333333333,-15.676333333333332
HD 35187,54185990,Cody et al.,,,,,,Y*O,B9-A0,J05240118+2457370,8.22,Y,81.00491666666666,24.960277777777776
