Title: The optical photometric variability of Herbig Ae/Be stars from TESS 
Authors: Cody A.M., Hillenbrand L.A., Chandragiri S., Morgan M. 
Table: Intermediate-mass young stars with TESS photometry
================================================================================
Byte-by-byte Description of file: apjae119at1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 10 I10    ---   TIC    TESS Input catalog identifier
  12- 28 A17    ---   2MASS  2MASS position-based identifier
  30- 45 A16    ---   OName  Other name 
  47- 51 F5.2   mag   mag    TESS magnitude
  53- 61 A9     ---   SpT    Spectral type 
  63- 63 A1     ---   Blend  [YN] Blend?
--------------------------------------------------------------------------------
   4206238 J05233100-0104237 HD 290380         9.9  F5-F8     N 
   8806247 J16271510-4839268 Hen 3-1191       12.28 B1        N 
  11199521 J05380526-0115216 HD 290764         9.51 A5-A7     N 
  11402323 J05410229-0243006 HD 37806          7.86 B8        N 
  12161661 J06065848-0555066 PDS 124          11.94 B8-B9     N 
  12876844 J22531560+6208450 IL Cep            8.53 B2        Y 
  13002932 J20202825+4121514 V1685 Cyg         9.59 B2-B3     N 
  13417240 J20213607+4047561 VOS 321          12.27 A8        N 
  14740791 J20253882+4019008 VOS 398          12.95 G         N 
  15898682 J20292692+4140439 MWC 1021          9.02 B6-B7     N 
  17130641 J20324553+4039366 V1478 Cyg         9.72 B5-B6     Y 
  24344701 J05160047-0948353 HD 34282          9.74 A0-A1     N 
  30243973 J08554594-4425140 SAO 220669        8.22 B4        N 
  31638754 J09060000-4718581 PDS 286          10.1  B0        N 
  35485982 J06484168-1648056 PDS 24           12.82 B9        N 
  45124112 J06074953+1839264 LkHa 208         10.99 A9-F0     N 
  46749954 J17125876-3214335 HD 155448         8.73 B8        N 
  50656450 J05294805-0023434 HD 290500        10.75 A2-A3     N 
  50745417 J05320993-0249467 RY Ori           10.83 F4-F9     N 
  53898232 J06542787-2502158 PDS 25           12.69 A3-A6     N 
  54003409 J01343776-1540348 HD 9672           5.6  A1-A2     N 
  54185990 J05240118+2457370 HD 35187          8.22 B9-A0     Y 
  63705801 J21212751+5059475 HD 235495         9.46 B9        N 
  66918331 J05534254-1024006 V1818 Ori         9.53 B8        N 
  67671603 J16065795-2743094 HD 144432         7.81 A5-A7     N 
  72553036 J06133726-0625017 PDS 126          11.3  A5-A7     N 
  72780071 J05431188-0459499 HD 38120          9.06 B8        N 
  72781767 J05430057-0218454 HD 38087          8.05 B5-B6     N 
  73816033 J05302753+2519571 HD 36112          7.98 A9-F0     N 
  74632969 J05355845+2444542 CQ Tau            9.86 F2-F3     N 
  75242497 J05393051+2622269 RR Tau           11.71 B9        N 
  75242566 J05393048+2619552 HD 245906        10.0  A5-A7     N 
  81297869 J08114457-4405087 HD 68695          9.76 B9-A0     N 
  85100457 J04584626+2950370 HD 31648          7.55 A5-A6     N 
  89189882 J05585578+1639573 HD 249879        10.64 B8        N 
  95586779 J07092789-1212160 VOS 465          12.79 A7        N 
  96680681 J04554582+3033043 AB Aur            6.94 A1-A2     N 
  97638779 J06010465+1654407 VOS 131          11.86 F6-G4     N 
  97807159 J06015998+1630567 HD 250550         9.37 B8        N 
 101186168 J17332078-3234256 VOS 15           13.11 A6        N 
 107406463 J07241754-2616053 GSC 6546-3156    13.8  B9-A0     N 
 107544865 J07250495-2545496 PDS 133          13.71 B7-B8     N 
 110990131 J19264025+2353508 PX Vul           10.57 F3-F5     N 
 120751782 J06495854-0738522 PDS 130          12.65 B8-B9     N 
 121137860 J16590677-4242083 V921 Sco          9.24 B0-B1     N 
 125641610 J07034316-1133062 Z CMa             8.36 A4-A6     N 
 125644224 J07040669-1126084 HU CMa           11.42 B7        N 
 136712091 J21111906+4738476 VOS 22           11.8  B8        N 
 138670679 J21200323+4657466 VOS 522          12.53 F1        N 
 138941394 J05330479+0228096 HD 288012         9.64 A2-A3     Y 
 139019368 J21220592+4651406 VOS 336          12.03 F6-G4     N 
 139715411 J07283676-2157493 HD 59319          8.37 B7-B8     N 
 149542947 J05444639-6544079 HD 39014          4.14 A5-A6     N 
 163268072 J17310584-3508292 HD 319896        10.14 B4-B5     N 
 166896955 J13574395-3958471 PDS 69           10.0  B4-B5     Y 
 168627773 J07083879-0419048 PDS 241          11.48 B1        Y 
 178486401 J07143123-1129271 VOS 703          12.26 F1-F6     N 
 181142391 J08421727-4044096 V388 Vel         14.33 B9        Y 
 183658281 J08231185-3907015 PDS 277           9.57 F3-F5     N 
 189283710 J20384588+4207047 VOS 1331         12.51 B0.5      N 
 189286260 J20391272+4220546 VOS 111          13.29 A0        N 
 190255749 J08511143-4138500 VOS 4            12.31 A0        N 
 199757113 J05274279-0819386 HD 35929          7.68 A9-F0     N 
 199967382 J05441880+0008403 V351 Ori          8.63 A7-A9     N 
 200511734 J05301903+1120199 HD 244314         9.87 A2-A3     N 
 200517741 J05315724+1117414 HD 244604         9.23 A2-A3     N 
 207044437 J06310692+1026049 VY Mon           12.74 B6-B7     N 
 207045303 J06310363+1001133 PDS 129          11.42 F2-F3     N 
 213103713 J05042998-0347142 UX Ori           10.01 A3-A6     N 
 220322651 J06405118+0944461 HBC 222          11.47 F3-F6     N 
 229340364 J06330519+1019199 HD 259431         8.31 B7        N 
 254045303 J19014081-3652337 TY CrA            8.65 B8        N 
 254387071 J15404638-4229536 HD 139614         8.03 A7-A9     N 
 255191560 J15564188-4219232 HD 142527         7.57 F2-F3     N 
 261539498 J05081303+4214558 VOS 84           12.85 A8        N 
 264460023 J05244279+0143482 V346 Ori          9.9  A7-A9     N 
 265290711 J02464395+5921168 VOS 2047         12.52 B9.5      N 
 265464119 J23584164+6626126 LkHa 259         13.02 A7-A9     N 
 266773096 J04054937+5128348 VOS 200          12.13 A0        N 
 269112596 J23172558+6050436 MWC 1080          9.8  B0        N 
 272142683 J23422673+6337387 VOS 42           12.21 B         N 
 272956728 J11223166-5322114 HD 98922          6.65 B8-B9     N 
 272995440 J04301623+4852099 VOS 898          12.25 A0        N 
 276661825 J05370245-0137213 HD 290770         9.2  B8        N 
 280773136 J11332542-7011412 HD 100546         6.66 A0-A1     N 
 283096205 J06554005-0309506 PDS 229N         12.8  B7        Y 
 284214915 J00365177+6329300 VOS 70           11.94 A7        N 
 285920558 J07591156-5022468 GSC 8143-1225    12.18 F1-F4     N 
 286322252 J02590513+6054041 VOS 588          12.37 B8        N 
 287757971 J05365925-0609164 HD 37258          9.53 A0-A1     N 
 287840183 J05371326-0635005 BF Ori           10.07 A2-A3     N 
 288924907 J20590591+4805368 VOS 69           12.26 A3        N 
 290064548 J21035423+5015101 LkHa 324         11.39 B7-B8     N 
 293537745 J15580967-5351349 Hen 3-1121S      10.47 O-B0      Y 
 297154074 J20480478+4347258 V2019 Cyg        10.46 B8        N 
 299797908 J13524285-6332492 Hen 3-938        11.36 O         N 
 302824830 J05321413+1703292 HD 36408          6.08 B6-B7     Y 
 305447083 J11034056-5925590 HD 96042          8.41 B0        N 
 307606851 J15154894-3708558 HD 135344         7.71 F0-F2     N 
 309449806 J06071539+2957550 GSC 1876-0892    12.71 B4        Y 
 311826580 J00385008+5954101 VOS 32           13.82 G0        N 
 312493387 J20140898+4029502 VOS 250          12.46 A3        N 
 317789227 J11311339-6350120 VOS 290          10.96 B2        N 
 319939254 J11374699-6342562 VOS 1336         12.88 B2.5-B9.5 Y 
 320547523 J11394445-6010278 HD 101412         9.07 B9-A0     N 
 322312832 J21425018+6606351 V361 Cep          9.53 B4        N 
 332856261 J05374708-0642301 HD 37357          7.38 B9        N 
 332856968 J05380931-0649166 V1787 Ori        12.0  A3-A4     N 
 332914217 J05385862-0716457 V599 Ori         11.66 A4-A6     N 
 332970982 J05401176-0942110 V350 Ori         11.4  A1-A3     N 
 335623526 J22114281+6036433 VOS 48           13.15 G0        N 
 336518731 J14185145-6124377 VOS 1245         13.55 A0        Y 
 339989392 J16544485-3653185 AK Sco            8.79 F7-G5     N 
 341984965 J22111311+5253341 VOS 475          13.02 B9.5      Y 
 349354945 J03291977+3124572 BD+30 549         9.9  B8        N 
 355320922 J08442365-5956578 GSC 8581-2002    10.55 B9        N 
 355676575 J19251419+2240382 VOS 481          12.52 F6-G4     N 
 356608297 J20510271+4349318 HBC 705          12.34 B2        N 
 357040880 J12000511-7811346 HD 104237         6.35 A5-A7     N 
 358568109 J05505477+2014476 UCAC4 552-019438 12.33 B7-B8     N 
 358901633 J23101132+6555587 VOS 35           12.53 F         N 
 362789897 J19422811+2306515 VOS 105          13.48 F5        N 
 365776906 J05273833+1125389 CO Ori           10.84 F3-F6     N 
 367036276 J20473745+4347249 V1977 Cyg        10.22 B8        N 
 367420555 J22165406+7003450 BO Cep           10.96 F3-F5     N 
 369496705 J12484238-5954350 Hen 3-823        10.08 B4        N 
 372070676 J22014287+6944364 BH Cep           10.68 F1-F4     N 
 377617067 J23122637+6058129 VOS 1026         11.87 B0.5      N 
 377893466 J23160757+6001437 VOS 672          12.42 B1.5-B8   N 
 385894679 J19255874+2112313 WW Vul           10.12 A3-A4     N 
 386040374 J07255610-1410435 HD 58647          6.71 B8        N 
 387813185 J21013691+6809476 HD 200775         6.77 B4        Y 
 388143588 J22383182+5550052 MWC 655           8.86 B2-B3     N 
 388935225 J05362543-0642577 V380 Ori          9.78 B9        Y 
 390384783 J12174750-5943590 GSC 8645-1401    11.98 A9-F2     N 
 395172881 J21400313+4802106 VOS 759          11.71 A8        N 
 396284614 J19111124+1547155 HD 179218         7.32 B9        N 
 396300742 J00093755+5813106 MQ Cas           12.97 B9        N 
 401214336 J21380845+5726476 GSC 3975-0579    11.26 A0-A1     N 
 408081161 J19555428+1932354 VOS 199          12.7  F1        N 
 409323949 J07193593-1739180 PDS 27           11.79 B4-B5     N 
 409406992 J16130668-5023199 WRAY 15-1435     11.67 B2-B3     N 
 410736126 J03283262+5113543 VOS 934          11.94 A2        N 
 410951921 J16160533-5046035 VOS 911          12.03 B2-B4     N 
 412645923 J21590612+6040533 VOS 473          12.19 A0        N 
 420018149 J00431825+6154402 V594 Cas          9.73 B7-B8     N 
 420307432 J22585908+5918024 VOS 1126         12.59 B2        N 
 427352999 J05341416-0536542 HBC 442           9.65 F8-G1     N 
 427373765 J05344698-0534145 HD 36917          6.1  B8        N 
 427395300 J05350983-0527532 HD 36982          8.17 B2        N 
 427395473 J05353136-0533088 NV Ori            9.37 F0-F2     N 
 427396230 J05355043-0528349 T Ori            10.87 A0-A1     N 
 427577547 J03390056+2941457 PDS 4            10.3  B9-A0     N 
 427938329 J21523408+4713436 AS 477            9.7  B8-B9     N 
 428476066 J00313068+6158509 VX Cas           11.19 B9        N 
 430006517 J21351915+5736382 VOS 121          12.75 B9.5      N 
 434633379 J23022850+6316309 VOS 274          12.54 A3        N 
 434972921 J23050746+6215362 V374 Cep          9.58 B3-B5     N 
 436098606 J05350960+1001515 HD 245185         9.79 B9        N 
 437994564 J06184553+1516522 MWC 137          10.23 B1        N 
 441152806 J02440733-1351312 HD 17081          4.38 B7        N 
 441744490 J09424032-5615341 PDS 297          11.85 B8        N 
 444356276 J00231367+6159318 VOS 787          12.9  B1.5      N 
 445062554 J06045913-1629039 HD 41511          4.18 B9-A0     N 
 449260863 J05194140+0538428 HD 34700          8.61 F8-G1     N 
 452035938 J11330559-5419285 HD 100453         7.5  A9-F0     N 
 452248316 J19471649+2719558 VOS 104          12.28 A2        Y 
 454215115 J15032380-6322588 DG Cir           11.72 A2-A3     N 
 454274408 J15045606-6307526 HD 132947         8.91 B8-B9     N 
 454291762 J11080329-7739174 HD 97048          8.07 B8        N 
 455573060 J21541877+4712096 LkHa 257         12.51 A1-A2     N 
 456030854 J22411697+6302377 VOS 56           13.18 A4        Y 
 457231768 J05270547+0025075 HD 290409         9.88 B9        N 
 459571845 J10520871-5612066 PDS 322          11.82 B2        N 
 459699513 J10532726-5825245 HD 94509          9.15 B7        N 
 459990291 J05240804+0227468 HD 287823         9.58 A4-A6     N 
 460571412 J10330498-6019513 HD 305298         9.46 O         N 
 462436722 J10043028-5839521 HD 87643          8.04 B4        N 
 462878642 J10100032-5702073 PDS 37           11.51 B2-B3     N 
 463597276 J17244469-3843514 MWC 878           9.62 B0        N 
 465196254 J17340462-3923413 HD 323771        10.72 B5-B6     N 
 465790701 J10572427-6253132 PDS 324          13.62 B2-B3     N 
 467356861 J22213319+7340270 SV Cep           10.03 A3-A4     N 
 469534433 J21361422+5721309 AS 470           11.49 A4-A7     Y 
 642035133 J03493638+3858556 XY Per A          9.12 B9        Y 
 709004859 J06033705-1453025 PDS 22           10.72 B9        Y 
 816058534 J08550867-4327596 HD 76534          8.2  B2        Y 
1139218134 J15542182-5519443 HD 141926         8.21 B0        Y 
