Source,RA,Dec,simbad_query_name,simbad_name,tic_id_simbad,startype,simbad_otype,simbad_error,tic_id_mast,tic_id_used_for_teff,teff,gaia_dr3_source_id,plx,gmag,bp_rp,gaia_sep_arcsec,gaia_error
J16083070-3828268,242.1278245833333,-38.47429094444445,2MASS J16083070-3828268,IRAS 16051-3820,TIC 374732772,K2,Or*,,374732772,TIC 374732772,4894.0,5997490206145065088,6.517972663506325,10.679561,1.285069465637207,0.21800138668356558,
J16124373-3815031,243.18221125,-38.25099633333333,2MASS J16124373-3815031,UCAC3 104-204438,TIC 382549695,M1,Or*,,382549695,TIC 382549695,3870.0,5997549820286701440,6.255850736365842,13.132708,2.2228574752807617,0.17746315538543728,
MYLup,240.1853829166666,-41.92540525,MYLup,,,,,,255464386,255464386,4620.0,5995177933191206016,6.363048174811028,11.112859,1.454716682434082,0.2006365766617179,
Sz111,242.22775916666663,-39.628802388888886,Sz111,THA 15-33,TIC 457995946,M1IVe,TT*,,457995946,TIC 457995946,3890.0,5997006897751436544,6.314480169543677,13.305508,2.132948875427246,0.21049518854214572,
Sz118,242.4526316666666,-39.18816908333333,Sz118,Sz 118,TIC 382798933,K6,Or*,,382798933,TIC 382798933,3728.0,5997405509388068352,6.193510813397376,13.634849,2.4261837005615234,0.2182773732751268,
Sz123A,242.7136570833333,-38.88699183333333,Sz123A,,,,,,1247560991,1247560991,,5997416573223873408,0.6664580158819126,17.653593,,2.000093863202598,
Sz129,239.81852541666663,-41.95300686111111,Sz129,WRAY 15-1400,TIC 279883855,K7IVe,TT*,,279883855,TIC 279883855,4018.0,5995168724780802944,6.244933230236771,12.365674,1.8871335983276367,0.1928067517607036,
Sz130,240.12921625,-41.72708952777778,Sz130,Sz 130,TIC 59183599,M1.5,TT*,,59183599,TIC 59183599,3735.0,5995197552601942528,6.282200294344902,13.653587,2.3427324295043945,0.19603301114972096,
Sz65,234.86559625,-34.771591416666666,Sz65,Sz  65,TIC 8159414,K7,Or*,,8159414,TIC 8159414,4208.0,6013399894569703040,6.515927785329656,11.745392,1.966726303100586,0.21600350651419395,
Sz66,234.86773,-34.771830888888886,Sz66,Sz  66,TIC 8159415,M2,TT*,,8159415,TIC 8159415,3403.0,6013399830146943104,6.413394202627444,13.892155,3.0914430618286133,0.20647759322541248,
Sz68,236.3034883333333,-34.291989666666666,Sz68,CD-33 10685,TIC 99039842,K3Ve,Or*,,99039842,TIC 99039842,4506.0,6014696841553696768,6.51573761310406,9.766766,1.6207427978515625,0.22755668591175351,
Sz71,236.68624625,-34.51006955555555,Sz71,V* GW Lup,TIC 99211574,M1.5e,Or*,,99211574,TIC 99211574,3751.0,6014722194741392512,6.443232582722255,13.097024,2.3754405975341797,0.2486221104486429,
Sz75,237.3003133333333,-35.65155686111111,Sz75,V* GQ Lup,TIC 442623945,K7Ve,Or*,,442623945,TIC 442623945,4360.0,6011522757643074304,6.489306586813699,11.242994,1.742629051208496,0.22387645376484547,
Sz77,237.94554833333328,-35.945740388888886,Sz77,Sz  77,TIC 442689368,K5.5,TT*,,442689368,TIC 442689368,4108.0,6011392186336443392,6.441144207331191,11.881741,1.796086311340332,0.20517599184624463,
Sz90,241.7918683333333,-39.18440175,Sz90,THA 15-21,TIC 374458112,K7-M0,TT*,,374458112,TIC 374458112,3723.0,5997077167735183872,6.23573852382027,13.604328,2.3622055053710938,0.2043488412570858,
Sz91,241.79818291666663,-39.06334536111111,Sz91,THA 15-20,TIC 374457709,M0.5,TT*,,374457709,TIC 374457709,3514.0,5997091358307172224,6.273796699415018,14.377242,2.70501708984375,0.2182902907204146,
Sz95,241.96786708333332,-38.96850422222222,Sz95,Sz  95,TIC 374644882,,TT*,,374644882,TIC 374644882,3509.0,5997087510016827776,6.231730000348699,14.002825,2.741612434387207,0.17756091638249105,
Sz96,242.05253041666663,-39.14277652777778,Sz96,Sz  96,TIC 374813341,,TT*,,374813341,TIC 374813341,3888.0,5997081119105445376,6.411289691485766,12.889932,2.2224836349487305,0.18707332116042155,
Sz98,242.09363166666665,-39.0797225,Sz98,V* V1279 Sco,TIC 374813201,M0.4,Or*,,374813201,TIC 374813201,4150.0,5997082867132347136,6.398991452749362,12.231205,1.8770933151245117,0.20786928174908434,
V1094Sco,242.1506425,-39.38416927777778,V1094Sco,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",457994950,457994950,3967.0,5997022192152593664,6.461472601682936,12.544531,2.0097599029541016,0.20284638909351985,
