Source,RA,Dec
J162536.7-241542,246.40302666666665,-24.261993222222223
J162556.1-242048,246.48394875,-24.34690847222222
J162616.8-242223,246.5701675,-24.373279222222223
J162618.9-242820,246.57860291666665,-24.472317194444443
J162623.6-242439,246.59822875,-24.411161472222226
J162624.1-241613,246.60032041666665,-24.2705665
J162636.8-241552,246.65342791666663,-24.26458883333333
J162645.0-242308,246.68757041666663,-24.385679805555554
J162649.0-243825,246.70406,-24.64048913888889
J162656.8-241351,246.73653249999995,-24.23115122222222
J162713.7-241817,246.8071595833333,-24.30486355555556
J162730.2-242743,246.8757075,-24.4622325
J162733.1-244115,246.8879145833333,-24.687744277777774
J162738.3-243658,246.9096170833333,-24.61644305555556
J162739.0-235818,246.9125,-23.972040194444443
J162739.4-243915,246.91425,-24.654480555555555
J162755.6-242618,246.98153291666665,-24.438517416666667
J162816.5-243658,247.0687454166666,-24.616295027777777
J162823.3-242241,247.09721125,-24.37812061111111
J162854.1-244744,247.2252833333333,-24.79580341666667
