Source,RA,Dec,simbad_query_name,simbad_name,tic_id_simbad,startype,simbad_otype,simbad_error,simbad_sep_arcsec,tic_id_mast,tic_id_used_for_teff,teff,gaia_dr3_source_id,plx,gmag,bp_rp,gaia_sep_arcsec,gaia_error
J162536.7-241542,246.40302666666665,-24.261993222222223,2MASS J162536.7-241542,YLW 19,TIC 98688481,K3-K5,Or*,,,98688481,TIC 98688481,3024.0,6049331526542488064,6.918318918202941,14.879959106445312,3.4622535705566406,0.22482681166177307,
J162556.1-242048,246.48394875,-24.34690847222222,2MASS J162556.1-242048,EM* SR    4,TIC 98689015,K0:Ve,Or*,,,98689015,TIC 98689015,,6049142410542091648,7.420843713949054,11.874690055847168,2.109506607055664,0.24287740210464392,
J162616.8-242223,246.5701675,-24.373279222222223,2MASS J162616.8-242223,GSS 29,TIC 399155581,K5-K6,TT*,,,399155581,TIC 399155581,,6049162545348745984,7.276874127821952,16.6429386138916,4.760418891906738,0.24451110289328895,
J162618.9-242820,246.57860291666665,-24.472317194444443,2MASS J162618.9-242820,Elia 2-20,TIC 399155550,,TT*,,,399155550,TIC 399155550,,6049137600178735744,7.271259298909908,18.020057678222656,4.270687103271484,0.2104058111975988,
J162623.6-242439,246.59822875,-24.411161472222226,2MASS J162623.6-242439,[LLL2015] Sa4,,,smm,,,399155560,399155560,,,,,,,
J162624.1-241613,246.60032041666665,-24.2705665,2MASS J162624.1-241613,Elia 2-24,TIC 399155591,K6,TT*,,,399155591,TIC 399155591,4483.0,6049168008547148416,7.180888047224439,15.883370399475098,4.106193542480469,0.19795075921278701,
J162636.8-241552,246.65342791666663,-24.26458883333333,2MASS J162636.8-241552,BKLT J162636-241554,TIC 175597001,K7-M1,Or*,,,175597001,TIC 175597001,,6049167905467933056,7.32117189473649,17.448165893554688,3.7479209899902344,0.24600699464037584,
J162645.0-242308,246.68757041666663,-24.38567980555555,2MASS J162645.0-242308,GSS 39,TIC 175596953,M0,Or*,,,175596953,TIC 175596953,,6049161819498750208,9.085300856045587,20.30308723449707,2.80780029296875,0.21557021068738583,
J162649.0-243825,246.70406,-24.64048913888889,2MASS J162649.0-243825,WL 18,TIC 175596914,M3.5,TT*,,,175596914,TIC 175596914,,6049119831897974784,7.54680679167487,19.420156478881836,3.226726531982422,0.2039204973271482,
J162656.8-241351,246.73653249999995,-24.23115122222222,2MASS J162656.8-241351,BKLT J162656-241353,TIC 175597011,K7,TT*,,,175597011,TIC 175597011,,6049171096626943744,7.325059716418737,18.01511573791504,4.285594940185547,0.2112375197707238,
J162713.7-241817,246.8071595833333,-24.30486355555556,2MASS J162713.7-241817,VSSG  24,TIC 175597660,,Or*,,,175597660,TIC 175597660,3699.0,6049158177365995904,7.2887843692656515,18.042951583862305,4.2985992431640625,0.22536034757554804,
J162730.2-242743,246.8757075,-24.4622325,2MASS J162730.2-242743,Elia 2-33,TIC 175597726,M2,Y*O,,,175597726,TIC 175597726,,,,,,,
J162733.1-244115,246.8879145833333,-24.687744277777774,2MASS J162733.1-244115,YLW 18,TIC 175743613,K5-K6,TT*,,,175743613,TIC 175743613,,6049095200261620352,7.323512093591868,17.149341583251953,4.531660079956055,0.22236426836506215,
J162738.3-243658,246.9096170833333,-24.61644305555556,2MASS J162738.3-243658,YLW 47,TIC 175743646,M0,TT*,,,175743646,TIC 175743646,,6049096093613205376,7.170476425725214,17.168415069580078,4.601998329162598,0.20953535787006727,
J162739.0-235818,246.9125,-23.972040194444443,2MASS J162739.0-235818,DoAr 33,TIC 175744072,K4,TT*,,,175744072,TIC 175744072,3431.0,6050679321639383680,7.064637542000319,13.256007194519043,2.6554651260375977,0.21245654336058045,
J162739.4-243915,246.91425,-24.654480555555555,2MASS J162739.4-243915,ROX 27,TIC 175743629,M0+M4,TT*,,,175743629,TIC 175743629,3469.0,6049095406419962112,7.392533799295934,15.308197975158691,3.611453056335449,0.19931500922246634,
J162755.6-242618,246.98153291666665,-24.438517416666667,2MASS J162755.6-242618,EM* SR   10,TIC 175743722,M1.5e,Or*,,,175743722,TIC 175743722,4241.0,6049152374866183936,7.596105107576347,13.110239028930664,2.440314292907715,0.21350252484030063,
J162816.5-243658,247.0687454166666,-24.616295027777777,2MASS J162816.5-243658,YLW 58,TIC 175744819,M4,TT*,,,175744819,TIC 175744819,,6049094616145974272,7.40860520945271,16.115407943725586,4.3850908279418945,0.20704589064178913,
J162823.3-242241,247.09721125,-24.37812061111111,2MASS J162823.3-242241,EM* SR   20W,TIC 175744599,K5,TT*,,,175744599,TIC 175744599,4487.0,6049107569767351680,6.811635844856902,16.67165184020996,3.443781852722168,0.20480832269036958,
J162854.1-244744,247.2252833333333,-24.79580341666667,2MASS J162854.1-244744,BKLT J162854-244743,TIC 175860635,M2,TT*,,,175860635,TIC 175860635,,6049076646002793856,7.327938043321213,14.943923950195312,3.6810035705566406,0.20220732555742543,
