Source,RA,Dec
CI_Tau,68.4667666,22.84160722
CW_Tau,63.5709125,28.18255652777778
DE_Tau,65.48189166666666,27.91821205555556
DG_Tau,66.76959083333333,26.10432986111111
DL_Tau,68.41288041666667,25.34380286111111
DM_Tau,68.453123,18.169338
DR_Tau,71.77592624999998,16.978472944444444
DS_Tau,71.95252375,29.419621333333332
FN_Tau,63.56087499999999,28.465970388888888
FT_Tau,65.91334541666667,24.93715288888889
GI_Tau,68.39196333333332,24.35461302777778
GK_Tau,68.39406666666666,24.35149480555556
GM_Aur,73.79579166666666,30.36633777777778
HO_Tau,68.83427791666666,22.53727333333333
HP_Tau,68.96998791666665,22.90634625
HQ_Tau,68.94730749999998,22.839242694444444
IP_Tau,66.23790083333333,27.19886661111111
IQ_Tau,67.46486208333333,26.11232930555556
LkCa_15,69.824192,22.35084533
V836_Tau,75.77751958333333,25.388673444444443
